Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаблій,Наталія,Андріївна,Жіноча,05.03.1946,Маркетолог,село Баштанка,"сквер Мечникова, буд. 939 кв. 2, Мала Виска, 16695",+380 23 104-21-53,vashchenko-zakharchenkooksana@example.com
Ковпак,Тетяна,Василівна,Жіноча,05.05.1945,Реабілітолог,місто Роздільна,"набережна Надії Пучковської, буд. 1, Заліщики, 74616",746 68 51,ndanchenko@example.org
Цісик,Володимир,Сергійович,Чоловіча,13.10.1976,Стропальник,хутір Полонне,"парк Володимира Хавкіна, буд. 2, Рудки, 36052",+380 63 031-73-85,adamchuksofiia@example.net
Лупій,Сергій,Михайлович,Чоловіча,21.12.1971,Гірник,селище Мукачево,"сквер Вірського, буд. 541, Біляївка, 12843",741 00 78,czakharchenko@example.org
Рудик,Тетяна,Сергіївна,Жіноча,17.06.1954,Футболіст,хутір Буринь,"площа Олександра Блока, буд. 3, Ромни, 87208",610-81-43,leontiiisaievych@example.com
Швайка,Василь,Олександрович,Чоловіча,03.04.1971,Астроном,селище Носівка,"проспект Халайджогло, буд. 496, Білгород-Дністровський, 37930",723 73 61,dhuk@example.com
Кабалюк,Сергій,Сергійович,Чоловіча,15.09.2008,Промисловець,селище Хоростків,"проспект Локомотивний 2-й, буд. 1, Фастів, 43199",054 182-83-51,romanetsleopold@example.org
Франко,Ірина,Дмитрівна,Жіноча,07.08.2000,Кушнір,місто Новий Калинів,"провулок Слобідський узвіз, буд. 991, Ірпінь, 29423",878 72 20,kalchenkoarsen@example.org
Фастенко,Дмитро,Васильович,Чоловіча,20.02.1985,Геолог,місто Славута,"шосе Героїв прикордонників, буд. 2, Полонне, 77573",+380 38 352-11-96,wbabych@example.net
Дацюк,Світлана,Петрівна,Жіноча,15.09.1987,Ґрунтознавець,хутір Судак,"узвіз Сабанський, буд. 02 кв. 1, Шахтарське, 17864",+380 62 867-81-56,savenkoorysia@example.net
Ребрик,Володимир,Васильович,Чоловіча,15.03.1944,Композитор,хутір Богуслав,"сквер Вінницька, буд. 947 кв. 3, Шостка, 85086",066 002-26-01,rbabiak@example.com
Щербак,Олександр,Михайлович,Чоловіча,13.04.1981,Фотограф,хутір Сніжне,"парк Матюшенка, буд. 391, Глобине, 32943",+380 12 586-68-10,oleksa59@example.org
Архимович,Ірина,Петрівна,Жіноча,04.07.1952,Будник,хутір Ірміно,"площа Павлодарська, буд. 6 кв. 135, Гнівань, 46086",061 959-41-46,andriiovychieva@example.net
Іващенко,Іван,Дмитрович,Чоловіча,27.01.1981,Доцент,хутір Вараш,"набережна Миколи Костомарова, буд. 371, Винники, 25914",080 393-28-38,deinekazynovii@example.com
Дашкевич,Світлана,Олександрівна,Жіноча,13.11.2002,Доцент,село Покров,"набережна Яблучна, буд. 94, Соледар, 53674",+380 22 769-99-33,opanasbandera@example.net
Чабан,Петро,Іванович,Чоловіча,05.12.1955,Піаніст,хутір Глиняни,"сквер Івана Вазова, буд. 134 кв. 12, Новгород-Сіверський, 22853",087 350 38 50,marianaolifirenko@example.net
Міщенко,Марія,Олександрівна,Жіноча,09.09.1945,Бібліограф,місто Коломия,"шосе Восьмого Березня Лінія 1-ша, буд. 438, П'ятихатки, 05616",+380 45 084-58-44,oleksa89@example.com
Сагаль,Світлана,Петрівна,Жіноча,26.10.1997,Складальник,селище Алмазна,"вулиця Приморський, буд. 05 кв. 2, Енергодар, 12032",+380 41 900 97 81,liuboviermolenko@example.net
Кабаненко,Петро,Михайлович,Чоловіча,22.11.1997,Мовознавець,хутір Зугрес,"проспект Вишневий, буд. 54, Снятин, 19326",038 505 40 54,varvara70@example.com
Архипенко,Михайло,Сергійович,Чоловіча,11.12.1949,Дипломат,село Хуст,"парк Партизанська, буд. 730 кв. 54, Радехів, 29180",+380 (07) 755-76-23,rebrykklavdiia@example.com
Безбородько,Олександр,Петрович,Чоловіча,28.06.1983,Піаніст,селище Лохвиця,"вулиця Миколи Бажана, буд. 4 кв. 20, Олександрія, 83797",+380 38 554-49-05,irena62@example.org
Данильчук,Василь,Іванович,Чоловіча,09.07.1948,Перекладач,село Славута,"узвіз Грецька, буд. 91 кв. 273, Кам'янка-Бузька, 48870",807-06-84,bohdanvakhnii@example.org
Романенко,Андрій,Іванович,Чоловіча,19.03.1984,Графік,хутір Старий Крим,"узвіз Дубова, буд. 3 кв. 44, Хоростків, 54601",+380 77 042 68 98,tkabanenko@example.org
Гавриш,Сергій,Сергійович,Чоловіча,04.01.1981,Кінорежисер,місто Богодухів,"сквер Велика Садова, буд. 6 кв. 38, Великі Мости, 24131",004-94-93,viktormasliak@example.org
Зайченко,Юлія,Василівна,Жіноча,22.10.1966,Ґрунтознавець,місто Іршава,"парк Дністровська, буд. 1, Ладижин, 48883",+380 22 980-21-73,roksolana61@example.com
Цюцюра,Олена,Олександрівна,Жіноча,29.10.2001,Сценарист,селище Іллінці,"площа Танкістів, буд. 852, Вільногірськ, 54318",666-49-54,iakivdevdiuk@example.com
Єрьоменко,Іван,Сергійович,Чоловіча,28.04.2006,Вчитель,хутір Олександрія,"проспект Корнюшина, буд. 116 кв. 361, Синельникове, 59348",052 420 71 14,adam85@example.org
Тесленко,Віктор,Андрійович,Чоловіча,25.04.1967,Пекар,селище Стебник,"набережна Європейська, буд. 251 кв. 3, Отаманівка, 96342",278-50-36,mbashtan@example.net
Цимбалюк,Віктор,Васильович,Чоловіча,07.01.1985,Агроном,село Кролевець,"площа Скляний 2-й, буд. 32 кв. 0, Новгород-Сіверський, 37397",077 001 71 76,fartushniakleon@example.net
Ґалаґан,Світлана,Сергіївна,Жіноча,02.01.1957,Дизайнер,хутір Самбір,"вулиця Заможна, буд. 4, Могилів-Подільський, 55127",+380 28 925-10-36,anastasiia13@example.net
Канівець,Юлія,Василівна,Жіноча,20.05.2008,Менеджер,селище Чернівці,"сквер Новиков міст, буд. 040 кв. 5, Рубіжне, 81633",+380 36 469-55-50,alekseienkostefan@example.org
Копитко,Юлія,Сергіївна,Жіноча,10.02.1969,Стиліст,село Борзна,"вулиця Джевецького, буд. 848, Слов'янськ, 99054",+380 65 645 61 87,dankivklavdiia@example.com
Башполченко,Сергій,Васильович,Чоловіча,08.05.1953,Водій,село Балта,"вулиця Водопровідний 2-й, буд. 7 кв. 193, Ковель, 14798",+380 29 897-54-44,klavdiia86@example.net
Гузій,Оксана,Олександрівна,Жіноча,26.11.1958,Конструктор,хутір Вуглегірськ,"вулиця Симфонічна, буд. 8 кв. 599, Подільськ, 15805",+380 56 910 24 67,aleksandrenkozakhar@example.net
Охримович,Володимир,Дмитрович,Чоловіча,28.05.1994,Пілот,селище Решетилівка,"площа Кастуся Калиновського, буд. 804 кв. 79, Костопіль, 74172",+380 95 901 91 00,dmalyk@example.net
Гук,Юлія,Іванівна,Жіноча,23.05.1950,Мистецтвознавець,хутір Бершадь,"площа Чорноморський 3-й, буд. 5 кв. 8, Нове Давидково, 29893",+380 (85) 943-74-73,bohuslav26@example.com
Ємець,Василь,Іванович,Чоловіча,24.06.2001,Мікробіолог,місто Гайсин,"набережна Чайкова, буд. 942 кв. 5, Лубни, 15973",+380 (30) 308-55-08,ihavryliuk@example.com
